feature-extraction,clustering-algo,run#,state,c_v,c_umass,topics,time
tf-idf,NMF,1,2,0.7540939615970708,-1.723095170492013,"[(0, '0.080*""vote"" + 0.055*""poll"" + 0.055*""hotlin"" + 0.055*""assist"" + 0.054*""cast"" + 0.054*""line"" + 0.054*""question"" + 0.053*""close"" + 0.053*""happi"" + 0.053*""still""'), (1, '0.104*""plan"" + 0.099*""take"" + 0.058*""vote"" + 0.055*""send"" + 0.054*""thank"" + 0.053*""white"" + 0.052*""go"" + 0.050*""back"" + 0.049*""help"" + 0.048*""time""'), (2, '0.128*""request"" + 0.082*""ballot"" + 0.079*""mail"" + 0.063*""deadlin"" + 0.060*""elig"" + 0.058*""check"" + 0.056*""away"" + 0.055*""day"" + 0.044*""today"" + 0.035*""elect""'), (3, '0.104*""return"" + 0.095*""mail"" + 0.054*""asap"" + 0.054*""design"" + 0.054*""might"" + 0.054*""option"" + 0.054*""drop"" + 0.053*""learn"" + 0.053*""abl"" + 0.053*""locat""'), (4, '0.011*""presid"" + 0.006*""democrat"" + 0.006*""great"" + 0.006*""peopl"" + 0.005*""work"" + 0.005*""whitehous"" + 0.005*""american"" + 0.004*""year"" + 0.004*""need"" + 0.004*""countri""')]",409.1635138988495
tf-idf,NMF,2,4,0.8013968506050124,-1.3782543630583493,"[(0, '0.145*""take"" + 0.078*""white"" + 0.076*""go"" + 0.075*""back"" + 0.074*""hous"" + 0.067*""plan"" + 0.039*""send"" + 0.037*""thank"" + 0.033*""help"" + 0.033*""time""'), (1, '0.048*""request"" + 0.030*""ballot"" + 0.026*""mail"" + 0.024*""deadlin"" + 0.023*""elig"" + 0.022*""check"" + 0.021*""away"" + 0.021*""day"" + 0.020*""today"" + 0.014*""elect""'), (2, '0.104*""return"" + 0.097*""mail"" + 0.054*""asap"" + 0.054*""design"" + 0.054*""might"" + 0.054*""drop"" + 0.054*""option"" + 0.053*""learn"" + 0.053*""abl"" + 0.053*""locat""'), (3, '0.121*""plan"" + 0.101*""vote"" + 0.062*""make"" + 0.059*""thank"" + 0.058*""send"" + 0.055*""help"" + 0.053*""time"" + 0.046*""forget"" + 0.046*""alreadi"" + 0.046*""fjv""'), (4, '0.078*""vote"" + 0.055*""poll"" + 0.055*""hotlin"" + 0.054*""assist"" + 0.054*""cast"" + 0.053*""line"" + 0.053*""question"" + 0.053*""close"" + 0.053*""happi"" + 0.052*""still""')]",399.5671544075012
tf-idf,NMF,3,6,0.7553860412557848,-1.7223545737505042,"[(0, '0.104*""plan"" + 0.099*""take"" + 0.058*""vote"" + 0.055*""send"" + 0.054*""thank"" + 0.053*""white"" + 0.052*""go"" + 0.050*""back"" + 0.049*""help"" + 0.048*""time""'), (1, '0.080*""vote"" + 0.055*""poll"" + 0.055*""hotlin"" + 0.055*""assist"" + 0.054*""cast"" + 0.054*""line"" + 0.054*""question"" + 0.053*""close"" + 0.053*""happi"" + 0.053*""still""'), (2, '0.128*""request"" + 0.083*""ballot"" + 0.080*""mail"" + 0.063*""deadlin"" + 0.060*""elig"" + 0.058*""check"" + 0.056*""away"" + 0.055*""day"" + 0.045*""today"" + 0.036*""elect""'), (3, '0.011*""presid"" + 0.006*""democrat"" + 0.006*""peopl"" + 0.006*""great"" + 0.005*""work"" + 0.005*""whitehous"" + 0.005*""american"" + 0.004*""need"" + 0.004*""year"" + 0.004*""countri""'), (4, '0.104*""return"" + 0.095*""mail"" + 0.054*""asap"" + 0.054*""design"" + 0.054*""might"" + 0.054*""option"" + 0.054*""drop"" + 0.053*""learn"" + 0.053*""abl"" + 0.053*""locat""')]",447.1244852542877
tf-idf,NMF,4,8,0.7796164755933974,-1.6903403073076355,"[(0, '0.080*""vote"" + 0.055*""poll"" + 0.055*""hotlin"" + 0.054*""assist"" + 0.054*""cast"" + 0.054*""line"" + 0.054*""question"" + 0.053*""close"" + 0.053*""happi"" + 0.053*""still""'), (1, '0.103*""return"" + 0.096*""mail"" + 0.054*""asap"" + 0.054*""design"" + 0.053*""might"" + 0.053*""drop"" + 0.053*""option"" + 0.052*""learn"" + 0.052*""abl"" + 0.052*""locat""'), (2, '0.011*""busi"" + 0.010*""small"" + 0.007*""presid"" + 0.007*""protect"" + 0.006*""democrat"" + 0.006*""need"" + 0.006*""work"" + 0.005*""american"" + 0.005*""care"" + 0.005*""peopl""'), (3, '0.067*""request"" + 0.042*""ballot"" + 0.037*""mail"" + 0.033*""deadlin"" + 0.032*""elig"" + 0.031*""check"" + 0.030*""away"" + 0.030*""day"" + 0.027*""today"" + 0.020*""elect""'), (4, '0.103*""plan"" + 0.098*""take"" + 0.058*""vote"" + 0.054*""send"" + 0.053*""thank"" + 0.052*""white"" + 0.051*""go"" + 0.049*""back"" + 0.048*""help"" + 0.047*""time""')]",421.7891566753388
tf-idf,NMF,5,10,0.7746187018161887,-1.54067462493858,"[(0, '0.103*""plan"" + 0.098*""take"" + 0.058*""vote"" + 0.054*""send"" + 0.054*""thank"" + 0.053*""white"" + 0.052*""go"" + 0.050*""back"" + 0.048*""help"" + 0.047*""hous""'), (1, '0.080*""vote"" + 0.055*""poll"" + 0.055*""hotlin"" + 0.054*""assist"" + 0.054*""cast"" + 0.054*""line"" + 0.054*""question"" + 0.053*""close"" + 0.053*""happi"" + 0.053*""still""'), (2, '0.013*""busi"" + 0.012*""small"" + 0.007*""protect"" + 0.006*""keep"" + 0.006*""presid"" + 0.006*""need"" + 0.006*""work"" + 0.005*""worker"" + 0.005*""program"" + 0.005*""democrat""'), (3, '0.103*""return"" + 0.096*""mail"" + 0.054*""asap"" + 0.053*""design"" + 0.053*""might"" + 0.053*""drop"" + 0.053*""option"" + 0.052*""learn"" + 0.052*""locat"" + 0.052*""abl""'), (4, '0.060*""request"" + 0.037*""ballot"" + 0.032*""mail"" + 0.030*""deadlin"" + 0.028*""elig"" + 0.027*""check"" + 0.027*""away"" + 0.027*""day"" + 0.024*""today"" + 0.018*""elect""')]",421.6397452354431
tf-idf,BERTopic,1,2,1.0,,"['0_plan_take_vote_send', '1_mail_return_ballot_state', '2_vote_poll_hotlin_assist', '3_http_danscavino_para_inittogeth', '4_care_health_protect_afford']",397.5127284526825
tf-idf,BERTopic,2,4,1.0,,"['0_plan_take_vote_send', '1_vote_hotlin_poll_assist', '2_return_mail_drop_person', '3_http_maga_danscavino_scavino', '4_request_ballot_mail_check']",416.8510866165161
tf-idf,BERTopic,3,6,1.0,,"['0_plan_take_vote_send', '1_vote_poll_hotlin_assist', '2_return_mail_drop_person', '3_http_maga_danscavino_scavino', '4_request_ballot_mail_deadlin']",383.9415068626404
tf-idf,BERTopic,4,8,1.0,,"['0_plan_take_vote_send', '1_vote_poll_hotlin_assist', '2_return_mail_drop_person', '3_http_maga_danscavino_para', '4_request_ballot_mail_check']",372.6188426017761
tf-idf,BERTopic,5,10,1.0,,"['0_vote_poll_hotlin_assist', '1_take_plan_vote_white', '2_return_mail_drop_person', '3_http_maga_danscavino_scavino', '4_request_ballot_mail_check']",393.52713418006897
